Average Zeroed Cap@174kHz,Average Zeroed Cap@224kHz,Average Zeroed Cap@287kHz,Average Zeroed Cap@368kHz,Average Zeroed Cap@473kHz,Average Zeroed Cap@607kHz,Average Zeroed Cap@779kHz,Average Zeroed Cap@1000kHz,Average Zeroed Cap@1284kHz,Average Zeroed Cap@1648kHz,Average Zeroed Cap@2115kHz,Group,Day,,,,,,,,,,,
2.83,2.294,1.67,1.72,1.402,1.185,1.043,0.934,0.869,0.864,0.75,3,1,,,,,,,,,,,
2.648,2.376,1.969,1.41,1.332,1.12,1.019,0.925,0.945,0.811,0.764,3,1,,,,,,,,,,,
2.604,2.43,1.917,1.643,1.212,1.189,1.108,0.956,0.862,0.867,0.673,3,1,,,,,,,,,,,
2.589,2.48,1.812,1.597,1.331,1.198,1.006,0.872,0.919,0.815,0.718,3,1,,,,,,,,,,,
2.483,2.328,1.952,1.636,1.512,1.132,1.09,0.853,0.871,0.815,0.749,3,1,,,,,,,,,,,
2.544,2.291,1.866,1.665,1.433,1.173,1.099,0.89,0.927,0.845,0.754,3,1,,,,,,,,,,,
2.549,2.299,1.694,1.603,1.365,1.145,1.01,0.924,0.874,0.774,0.765,3,1,,,,,,,,,,,
2.68,2.293,1.805,1.442,1.356,1.179,1.056,0.923,0.879,0.794,0.747,3,1,,,,,,,,,,,
2.472,2.317,1.965,1.48,1.235,1.188,1.019,0.908,0.901,0.756,0.753,3,1,,,,,,,,,,,
2.539,2.58,1.786,1.569,1.224,1.175,1.006,0.831,0.866,0.83,0.655,3,1,,,,,,,,,,,
2.265,1.956,1.544,1.121,1.014,0.714,0.471,0.397,0.366,0.338,0.272,3,1,,,,,,,,,,,
2.328,2.058,1.599,1.118,0.7,0.664,0.54,0.442,0.387,0.403,0.283,3,1,,,,,,,,,,,
2.193,2.137,1.275,1.023,0.799,0.736,0.566,0.438,0.368,0.303,0.265,3,1,,,,,,,,,,,
2.253,2.152,1.282,1.136,0.687,0.667,0.555,0.449,0.381,0.363,0.305,3,1,,,,,,,,,,,
2.281,1.98,1.527,0.896,0.748,0.708,0.62,0.352,0.465,0.291,0.258,3,1,,,,,,,,,,,
2.237,2.101,1.549,0.952,0.752,0.698,0.611,0.453,0.475,0.317,0.274,3,1,,,,,,,,,,,
2.101,1.934,1.315,0.89,1.068,0.73,0.596,0.463,0.362,0.35,0.238,3,1,,,,,,,,,,,
2.408,2.101,1.436,1.085,0.993,0.631,0.595,0.493,0.404,0.337,0.275,3,1,,,,,,,,,,,
2.167,1.896,1.364,1.076,0.871,0.722,0.537,0.377,0.352,0.301,0.266,3,1,,,,,,,,,,,
2.264,1.941,1.333,1.014,0.8,0.678,0.624,0.406,0.354,0.361,0.321,3,1,,,,,,,,,,,
2.027,1.971,1.32,0.962,0.814,0.697,0.532,0.481,0.376,0.341,0.227,3,1,,,,,,,,,,,
2.326,1.916,1.533,1.217,0.815,0.721,0.595,0.493,0.456,0.322,0.333,3,1,,,,,,,,,,,
2.311,2.095,1.451,0.982,0.795,0.732,0.603,0.44,0.458,0.294,0.225,3,1,,,,,,,,,,,
2.221,1.961,1.53,1.083,0.8,0.73,0.579,0.495,0.393,0.332,0.238,3,1,,,,,,,,,,,
2.176,2.055,1.347,0.984,0.948,0.662,0.527,0.47,0.409,0.336,0.191,3,1,,,,,,,,,,,
2.159,2.029,1.52,1.124,0.826,0.645,0.486,0.46,0.411,0.315,0.271,3,1,,,,,,,,,,,
2.173,1.914,1.447,1.066,0.901,0.625,0.575,0.479,0.359,0.338,0.266,3,1,,,,,,,,,,,
2.219,1.943,1.359,0.998,0.859,0.725,0.645,0.467,0.412,0.318,0.262,3,1,,,,,,,,,,,
2.175,1.815,1.416,0.937,0.889,0.672,0.556,0.471,0.404,0.328,0.257,3,1,,,,,,,,,,,
2.26,2.096,1.418,1.087,0.735,0.666,0.577,0.453,0.366,0.336,0.305,3,1,,,,,,,,,,,
2.415,2.2,1.651,1.087,1.091,0.91,0.782,0.591,0.668,0.575,0.386,4,1,,,,,,,,,,,
2.701,2.297,1.604,1.328,1.034,0.993,0.845,0.646,0.603,0.524,0.478,4,1,,,,,,,,,,,
2.649,2.264,1.721,1.429,1.234,0.936,0.893,0.689,0.654,0.579,0.458,4,1,,,,,,,,,,,
2.69,2.335,1.639,1.353,1.003,1.014,0.818,0.694,0.551,0.511,0.459,4,1,,,,,,,,,,,
2.572,2.443,1.768,1.319,1.201,0.933,0.751,0.673,0.615,0.568,0.464,4,1,,,,,,,,,,,
2.542,2.331,1.689,1.514,0.976,0.931,0.825,0.691,0.611,0.56,0.411,4,1,,,,,,,,,,,
2.604,2.303,1.59,1.373,1.087,0.931,0.768,0.701,0.564,0.53,0.412,4,1,,,,,,,,,,,
2.638,2.382,1.823,1.316,1.148,0.899,0.816,0.683,0.555,0.562,0.389,4,1,,,,,,,,,,,
2.701,2.559,1.538,1.387,1.261,0.965,0.768,0.658,0.618,0.508,0.463,4,1,,,,,,,,,,,
2.783,2.33,1.719,1.322,1.174,0.945,0.841,0.701,0.606,0.483,0.411,4,1,,,,,,,,,,,
2.713,2.284,1.668,1.243,1.056,0.994,0.779,0.641,0.606,0.553,0.457,4,1,,,,,,,,,,,
2.698,2.6,1.758,1.399,1.21,1.009,0.832,0.701,0.624,0.527,0.46,4,1,,,,,,,,,,,
2.719,2.43,1.688,1.388,1.042,0.973,0.809,0.64,0.566,0.511,0.482,4,1,,,,,,,,,,,
2.589,2.397,1.637,1.211,1.174,0.905,0.848,0.64,0.6,0.518,0.48,4,1,,,,,,,,,,,
2.719,2.546,1.729,1.394,1.025,0.951,0.82,0.67,0.591,0.581,0.505,4,1,,,,,,,,,,,
2.678,2.424,1.639,1.363,1.178,0.947,0.773,0.711,0.52,0.499,0.475,4,1,,,,,,,,,,,
2.662,2.194,1.593,1.376,1.104,0.916,0.772,0.733,0.529,0.556,0.524,4,1,,,,,,,,,,,
2.726,2.338,1.649,1.631,1.108,0.983,0.782,0.685,0.604,0.536,0.429,4,1,,,,,,,,,,,
2.643,2.377,1.655,1.376,1.281,1.005,0.721,0.672,0.563,0.558,0.465,4,1,,,,,,,,,,,
2.601,2.339,1.703,1.38,1.08,0.978,0.779,0.765,0.633,0.539,0.392,4,1,,,,,,,,,,,
2.3,2.024,1.78,1.468,1.129,1.104,0.98,0.912,0.836,0.752,0.784,4,1,,,,,,,,,,,
2.334,2.37,1.684,1.172,1.189,1.102,0.944,0.892,0.853,0.85,0.694,4,1,,,,,,,,,,,
2.329,2.33,1.761,1.395,1.288,1.061,1.01,0.883,0.789,0.739,0.713,4,1,,,,,,,,,,,
2.248,2.194,1.824,1.255,1.309,1.083,0.974,0.905,0.824,0.739,0.688,4,1,,,,,,,,,,,
