Index,Events,Average Zeroed Cap@174kHz,Average Zeroed Cap@224kHz,Average Zeroed Cap@287kHz,Average Zeroed Cap@368kHz,Average Zeroed Cap@473kHz,Average Zeroed Cap@607kHz,Average Zeroed Cap@779kHz,Average Zeroed Cap@1000kHz,Average Zeroed Cap@1284kHz,Average Zeroed Cap@1648kHz,Average Zeroed Cap@2115kHz,Cell Type,Time Period,Cell Type.V1
33,Feed,1.443,0.798,0.542,0.066,-0.195,-0.121,-0.22,-0.464,-0.469,-0.526,-0.562,chondro,96,2
34,0,1.473,0.726,0.651,-0.08,-0.153,-0.091,-0.39,-0.41,-0.479,-0.468,-0.516,chondro,96,2
35,0,1.334,0.802,0.639,0.178,-0.157,-0.156,-0.252,-0.474,-0.491,-0.441,-0.537,chondro,96,2
36,0,1.38,0.889,0.694,-0.015,-0.022,-0.09,-0.163,-0.408,-0.464,-0.424,-0.452,chondro,96,2
37,0,1.536,0.909,0.421,-0.007,-0.065,-0.071,-0.219,-0.407,-0.489,-0.483,-0.556,chondro,96,2
47,Feed,2.277,1.793,1.324,1.248,1.016,1.02,0.79,0.757,0.651,0.648,0.658,chondro,96,2
48,0,2.305,1.8,1.622,1.039,0.945,1.021,0.831,0.652,0.669,0.705,0.639,chondro,96,2
49,0,2.187,1.952,1.607,1.148,1.172,1.054,0.825,0.767,0.663,0.679,0.601,chondro,96,2
50,0,2.156,1.687,1.6,0.988,0.982,1.048,0.837,0.692,0.671,0.635,0.547,chondro,96,2
51,0,2.103,1.82,1.616,1.023,1.094,0.994,0.878,0.731,0.715,0.643,0.656,chondro,96,2
59,Feed,3.284,2.813,2.524,2.182,1.941,2.122,1.895,1.824,1.743,1.787,1.638,chondro,96,2
60,0,3.335,2.869,2.538,2.115,2.183,2.081,1.904,1.823,1.757,1.771,1.677,chondro,96,2
61,0,3.38,2.9,2.55,2.218,2.136,2.161,1.978,1.854,1.869,1.696,1.679,chondro,96,2
62,0,3.366,2.939,2.631,2.131,1.961,2.1,1.902,1.819,1.795,1.747,1.745,chondro,96,2
63,0,3.152,2.922,2.522,2.299,2.069,2.163,2.017,1.85,1.771,1.756,1.615,chondro,96,2
82,Feed,2.338,2.028,1.939,1.678,1.418,1.372,1.204,1.084,1.046,1.034,1.024,chondro,96,2
83,0,2.25,1.878,1.656,1.533,1.308,1.374,1.199,1.107,1.101,1.064,0.956,chondro,96,2
84,0,2.335,2.021,1.762,1.5,1.261,1.396,1.189,1.123,1.104,1.099,1.012,chondro,96,2
85,0,2.466,1.884,1.812,1.496,1.418,1.449,1.224,1.241,1.092,1.098,1.052,chondro,96,2
86,0,2.398,1.954,1.858,1.535,1.327,1.406,1.257,1.15,1.154,1.031,1.052,chondro,96,2
58,Feed,1.161,1.364,1.302,1.243,1.228,0.972,0.795,0.721,0.601,0.592,0.459,hasc,24,3
59,0,1.09,1.283,1.219,1.205,1.224,0.937,0.863,0.727,0.66,0.563,0.495,hasc,24,3
60,0,1.189,1.467,1.397,1.206,0.956,0.924,0.902,0.671,0.662,0.532,0.44,hasc,24,3
61,0,1.291,1.215,1.294,1.233,1.096,0.942,0.812,0.742,0.694,0.541,0.463,hasc,24,3
62,0,1.201,1.368,1.474,1.377,1.273,1.02,0.862,0.769,0.685,0.554,0.397,hasc,24,3
69,Feed,1.369,1.646,1.6,1.152,1.022,0.985,0.876,0.767,0.704,0.625,0.561,hasc,24,3
70,0,1.499,1.482,1.408,1.308,1.043,0.981,0.878,0.768,0.704,0.614,0.526,hasc,24,3
71,0,1.551,1.595,1.42,1.159,1.21,0.994,0.884,0.805,0.709,0.578,0.517,hasc,24,3
72,0,1.584,1.331,1.596,1.456,1.027,1.006,0.912,0.782,0.747,0.555,0.536,hasc,24,3
73,0,1.676,1.351,1.645,1.378,1.062,0.987,0.857,0.7,0.719,0.65,0.518,hasc,24,3
94,Feed,1.913,1.515,1.449,1.309,1.057,0.853,0.732,0.57,0.477,0.422,0.325,hasc,24,3
95,0,1.856,1.658,1.595,1.179,0.963,0.746,0.691,0.577,0.487,0.402,0.273,hasc,24,3
96,0,1.691,1.567,1.295,1.346,0.9,0.792,0.718,0.534,0.452,0.405,0.297,hasc,24,3
97,0,1.925,1.511,1.515,1.226,0.976,0.827,0.714,0.605,0.455,0.345,0.27,hasc,24,3
98,0,1.954,1.58,1.339,1.098,1.114,0.834,0.673,0.591,0.48,0.451,0.338,hasc,24,3
104,Feed,1.381,1.346,1.331,1.238,1.104,1.047,0.962,0.889,0.853,0.786,0.665,hasc,24,3
105,0,1.325,1.285,1.268,1.108,0.935,0.935,0.935,0.743,0.754,0.722,0.652,hasc,24,3
106,0,1.771,1.565,1.604,1.496,1.454,1.422,1.366,1.305,1.228,1.129,1.052,hasc,24,3
107,0,1.588,1.697,1.654,1.228,1.186,0.834,1.024,0.972,0.887,0.498,0.574,hasc,24,3
108,0,1.59,1.705,1.564,1.623,1.506,1.381,1.427,1.307,1.266,1.181,1.136,hasc,24,3
106,Feed,2.406,2.116,2.015,1.491,1.429,1.418,1.241,0.942,1.007,0.789,0.769,hasc,48,3
107,0,2.463,2.256,2.095,1.822,1.476,1.35,1.222,1.033,0.95,0.834,0.814,hasc,48,3
108,0,2.41,2.071,1.919,1.588,1.309,1.349,1.211,1.072,0.983,0.83,0.752,hasc,48,3
109,0,2.528,2.183,1.944,1.757,1.463,1.343,1.228,0.984,0.961,0.843,0.803,hasc,48,3
110,0,2.571,2.127,1.897,1.761,1.482,1.378,1.223,0.959,1.045,0.827,0.828,hasc,48,3
116,Feed,1.269,1.333,1.024,0.735,0.6,0.561,0.387,0.192,0.248,0.127,0.053,hasc,48,3
117,0,1.203,1.018,1.148,0.871,0.477,0.525,0.45,0.248,0.223,0.045,0.024,hasc,48,3
118,0,1.395,1.272,1.095,0.797,0.82,0.561,0.396,0.232,0.244,0.076,0.034,hasc,48,3
119,0,1.517,1.174,1.107,0.742,0.68,0.622,0.44,0.215,0.207,0.105,0.031,hasc,48,3
120,0,1.342,1.274,1.06,0.885,0.815,0.561,0.407,0.21,0.175,0.054,0.089,hasc,48,3
130,Feed,2.324,1.897,1.992,1.433,1.141,0.966,0.847,0.651,0.696,0.516,0.483,hasc,48,3
131,0,2.576,1.882,1.684,1.473,1.015,1.002,0.829,0.643,0.592,0.522,0.498,hasc,48,3
132,0,2.471,2.141,1.685,1.484,1.15,0.907,0.856,0.652,0.661,0.511,0.55,hasc,48,3
133,0,2.477,2.051,1.86,1.392,0.981,1.016,0.823,0.657,0.628,0.513,0.52,hasc,48,3
134,0,2.512,2.125,1.828,1.405,1.199,1.087,0.831,0.703,0.632,0.533,0.473,hasc,48,3
143,Feed,2.779,2.296,1.912,1.541,1.223,1.017,0.926,0.647,0.688,0.494,0.484,hasc,48,3
144,0,2.831,2.306,1.983,1.574,1.245,1.115,0.935,0.681,0.665,0.589,0.5,hasc,48,3
145,0,2.834,2.302,1.886,1.529,1.241,1.119,0.93,0.678,0.696,0.514,0.493,hasc,48,3
146,0,2.94,2.34,1.897,1.692,1.227,1.12,0.966,0.732,0.739,0.616,0.47,hasc,48,3
147,0,2.947,2.3,2.005,1.711,1.281,1.076,1.021,0.739,0.742,0.538,0.52,hasc,48,3
154,Feed,3.441,2.754,2.428,1.921,1.783,1.599,1.512,1.195,1.254,1.088,1.047,hasc,48,3
155,0,3.2,2.755,2.261,2.294,1.73,1.56,1.449,1.22,1.168,1.08,1.041,hasc,48,3
156,0,3.274,2.632,2.386,2.084,1.722,1.554,1.414,1.238,1.225,1.094,1.014,hasc,48,3
157,0,3.237,2.734,2.423,1.931,1.619,1.593,1.404,1.18,1.246,1.084,1.07,hasc,48,3
158,0,3.251,2.919,2.339,2.071,1.759,1.589,1.396,1.218,1.192,1.067,1.08,hasc,48,3
94,Feed,3.869,3.139,2.507,2.22,1.75,1.321,1.039,0.805,0.735,0.451,0.292,hasc,96,3
95,0,3.518,3.134,2.609,1.858,1.697,1.198,1.039,0.707,0.544,0.426,0.237,hasc,96,3
96,0,3.792,5.019,4.602,4.041,3.448,2.238,2.605,2.147,1.881,1.615,1.425,hasc,96,3
97,0,6.454,5.561,4.533,4.193,3.358,2.814,2.376,2.1,1.819,1.58,1.39,hasc,96,3
103,Feed,5.553,5.3,4.062,3.799,3.03,2.48,2.103,1.806,1.52,1.318,1.017,hasc,96,3
