AREA,PERIMETER,CELL_ID,Lon,Lat,cdirjan,cdirfeb,cdirmar,cdirapr,cdirmay,cdirjun,cdirjul,cdiraug,cdirsep,cdiroct,cdirnov,cdirdec,cdirann
0.111,1.335,284094,90.39500000000,23.13400000000,5176,4331,4392,3641,3370,1397,975,1423,1750,4912,4856,5788,3500
0.111,1.334,290095,88.28100000000,23.09300000000,4233,3641,3841,3659,2818,1699,1136,1663,1849,4236,4029,4485,3107
0.111,1.334,278093,92.50900000000,23.10300000000,6490,5595,4630,3785,4184,1902,1211,2131,2343,5083,5260,6457,4089
0.111,1.334,285094,90.05200000000,23.08000000000,5199,4468,4489,3872,3513,1377,903,1528,1819,5050,4933,5930,3590
0.111,1.333,279093,92.16400000000,23.06000000000,6021,5035,4637,3897,3896,1822,1274,2167,2036,4971,5062,6163,3915
0.111,1.333,291095,87.94200000000,23.02700000000,4444,3864,4182,4179,3461,2077,1320,1992,2281,4906,4232,4629,3463
0.111,1.333,286094,89.71100000000,23.02400000000,4684,4087,4308,3882,3262,1460,914,1701,1994,5022,4529,5162,3417
0.111,1.332,280093,91.82100000000,23.01600000000,5839,4836,4444,3664,3687,1483,1180,1919,1949,4924,5065,6260,3770
0.111,1.331,287094,89.37000000000,22.96600000000,4524,3984,4217,3993,3251,1519,959,1777,2028,4902,4439,5025,3384
0.111,1.331,281093,91.47800000000,22.96900000000,5663,4709,4411,3489,3524,1349,1089,1601,1790,4819,4881,6181,3625
0.110,1.330,282093,91.13500000000,22.92100000000,5435,4603,4401,3641,3490,1198,908,1365,1794,4737,4905,6106,3548
0.110,1.330,288094,89.02900000000,22.90600000000,4428,3863,4066,3842,3083,1571,1073,1704,1983,4539,4258,4782,3266
0.110,1.329,283093,90.79400000000,22.87100000000,5324,4491,4392,3760,3394,1179,963,1382,1709,4718,4814,5915,3503
0.110,1.329,276092,93.24000000000,22.86500000000,6748,6310,5542,4946,5006,2093,1336,2038,2083,4850,5433,6878,4438
0.110,1.329,289094,88.69000000000,22.84400000000,4276,3669,3869,3659,2798,1660,1099,1694,1893,4272,4141,4570,3133
0.110,1.328,277092,92.89600000000,22.82700000000,7062,6284,5376,4758,5070,2278,1701,2456,2650,5021,5645,6965,4605
0.110,1.328,284093,90.45200000000,22.81900000000,5259,4391,4391,3795,3391,1274,985,1382,1659,4745,4857,5858,3498
0.110,1.328,290094,88.35100000000,22.78100000000,4228,3650,3882,3685,2805,1777,1182,1801,1945,4283,4151,4538,3160
0.110,1.328,278092,92.55400000000,22.78700000000,6189,5564,4865,4259,4297,1958,1371,2225,2292,4873,5244,6223,4113
0.110,1.327,285093,90.11200000000,22.76600000000,5321,4496,4567,3826,3427,1363,901,1377,1830,4961,5016,5912,3583
0.110,1.327,279092,92.21200000000,22.74400000000,6169,5284,4865,3975,4183,1743,1356,2233,1990,5125,5187,6201,4025
0.110,1.326,291094,88.01400000000,22.71600000000,4164,3612,3880,3650,2828,1794,1224,1815,1932,4275,4088,4390,3137
0.110,1.326,286093,89.77200000000,22.71000000000,4724,4089,4348,3941,3313,1398,878,1415,1899,4818,4467,5146,3369
0.110,1.326,280092,91.87000000000,22.70000000000,5890,4920,4561,3690,3777,1412,1132,1733,1900,4957,4966,6302,3770
0.110,1.325,287093,89.43300000000,22.65300000000,4656,4088,4358,3989,3207,1497,942,1638,1940,4931,4443,5156,3403
0.110,1.325,281092,91.52900000000,22.65400000000,5502,4639,4239,3453,3501,1256,1070,1607,1812,4482,4828,5984,3531
0.109,1.324,282092,91.18800000000,22.60700000000,5543,4588,4534,3642,3561,1183,943,1332,1671,4647,4884,6070,3549
0.109,1.324,288093,89.09500000000,22.59300000000,4491,3943,4264,3973,3177,1582,1046,1792,2021,4837,4387,4952,3372
0.109,1.323,283092,90.84900000000,22.55700000000,5371,4485,4555,3825,3567,1268,920,1362,1551,4620,4853,6048,3535
0.109,1.323,276091,93.28000000000,22.55000000000,6962,6455,5725,5122,5106,1852,1280,1897,2007,4879,5705,7287,4523
0.109,1.323,289093,88.75700000000,22.53200000000,4451,3893,4160,3951,3210,1745,1383,2217,2264,4810,4305,4822,3434
0.109,1.322,284092,90.50900000000,22.50600000000,5330,4484,4634,3891,3484,1224,867,1377,1560,4743,4936,6055,3548
0.109,1.322,277091,92.93900000000,22.51100000000,7071,6338,5503,4775,5015,2050,1420,2209,2339,5145,5694,7045,4550
0.109,1.321,290093,88.42100000000,22.47000000000,4192,3615,3861,3644,2766,1712,1120,1774,1870,4243,4073,4483,3112
0.109,1.321,278091,92.59800000000,22.47100000000,6836,6155,5221,4511,4644,2112,1594,2160,2210,5052,5505,6886,4407
0.109,1.321,285092,90.17100000000,22.45200000000,5209,4407,4649,4028,3314,1344,825,1423,1798,4780,5021,5829,3552
